Data,Oras,Max,Min,Precipitatii,OreSoare,OrePloaie,WMO,ZiTip,Vanzari,Tip
2023-01-01,Alba Iulia,13.9,3.5,0.0,8.0,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-02,Alba Iulia,10.0,1.5,0.0,7.9,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-03,Alba Iulia,10.6,0.8,0.0,6.9,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-04,Alba Iulia,7.8,2.2,4.4,0.4,8.0,55,🌧️ Burniță densă,0.0,arhiva
2023-01-05,Alba Iulia,8.6,2.8,4.9,2.3,6.0,61,🌧️ Ploaie ușoară,0.0,arhiva
2023-01-06,Alba Iulia,8.6,2.0,1.8,5.4,9.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-01-07,Alba Iulia,10.7,1.0,0.1,8.1,1.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-01-08,Alba Iulia,8.1,-0.3,0.0,8.0,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-09,Alba Iulia,8.1,-0.7,0.0,7.6,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-10,Alba Iulia,6.8,1.6,10.6,1.6,13.0,61,🌧️ Ploaie ușoară,0.0,arhiva
2023-01-11,Alba Iulia,8.9,1.4,1.4,4.7,6.0,53,🌦️ Burniță moderată,0.0,arhiva
2023-01-12,Alba Iulia,5.9,1.3,3.6,0.0,15.0,53,🌦️ Burniță moderată,0.0,arhiva
2023-01-13,Alba Iulia,6.6,1.5,0.0,4.6,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-14,Alba Iulia,5.1,0.3,0.0,0.9,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-15,Alba Iulia,6.8,0.2,0.0,7.8,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-16,Alba Iulia,6.0,-2.0,0.1,3.0,1.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-01-17,Alba Iulia,9.9,0.2,0.7,5.2,5.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-01-18,Alba Iulia,14.6,3.2,1.4,5.1,5.0,53,🌦️ Burniță moderată,0.0,arhiva
2023-01-19,Alba Iulia,11.2,3.5,5.9,1.8,9.0,63,🌧️ Ploaie moderată,0.0,arhiva
2023-01-20,Alba Iulia,8.8,1.5,12.2,0.8,10.0,75,❄️ Ninsoare abundentă,0.0,arhiva
2023-01-21,Alba Iulia,4.3,-2.0,3.5,7.0,3.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-01-22,Alba Iulia,8.3,-0.2,7.1,1.7,7.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-01-23,Alba Iulia,11.1,2.2,0.1,8.9,1.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-01-24,Alba Iulia,6.3,-2.3,0.0,8.7,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-25,Alba Iulia,2.8,-4.6,0.0,8.9,0.0,3,☁️ Înnorat,0.0,arhiva
2023-01-26,Alba Iulia,2.7,-5.5,0.3,6.3,3.0,71,🌨️ Ninsoare ușoară,0.0,arhiva
2023-01-27,Alba Iulia,3.0,-0.2,4.6,0.0,19.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-01-28,Alba Iulia,1.8,-1.1,2.3,0.0,14.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-01-29,Alba Iulia,1.9,-2.5,0.5,0.0,5.0,71,🌨️ Ninsoare ușoară,0.0,arhiva
2023-01-30,Alba Iulia,1.6,-3.1,0.0,8.6,0.0,71,🌨️ Ninsoare ușoară,0.0,arhiva
2023-01-31,Alba Iulia,3.9,-3.0,2.6,7.8,8.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-02-01,Alba Iulia,4.8,-1.1,2.1,4.6,10.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-02-02,Alba Iulia,4.3,0.9,1.3,5.1,9.0,71,🌨️ Ninsoare ușoară,0.0,arhiva
2023-02-03,Alba Iulia,4.6,-2.0,1.7,6.1,8.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-02-04,Alba Iulia,5.5,-1.3,7.9,5.9,14.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-02-05,Alba Iulia,-0.9,-5.2,1.4,9.1,6.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-02-06,Alba Iulia,0.8,-6.8,0.0,9.1,0.0,2,⛅ Parțial înnorat,0.0,arhiva
2023-02-07,Alba Iulia,0.6,-6.9,0.1,8.3,1.0,71,🌨️ Ninsoare ușoară,0.0,arhiva
2023-02-08,Alba Iulia,0.1,-6.2,0.3,9.2,3.0,71,🌨️ Ninsoare ușoară,0.0,arhiva
2023-02-09,Alba Iulia,0.1,-8.1,0.0,9.6,0.0,0,☀️ Cer senin,0.0,arhiva
2023-02-10,Alba Iulia,0.9,-9.6,0.0,9.6,0.0,1,🌤️ Predominant senin,0.0,arhiva
2023-02-11,Alba Iulia,3.9,-7.6,0.0,8.9,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-12,Alba Iulia,3.3,-2.3,0.8,7.8,4.0,73,🌨️ Ninsoare moderată,0.0,arhiva
2023-02-13,Alba Iulia,5.7,-4.2,0.0,9.7,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-14,Alba Iulia,5.8,-3.8,0.1,9.2,1.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-02-15,Alba Iulia,7.3,-2.5,0.0,9.8,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-16,Alba Iulia,6.4,-4.4,0.0,9.8,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-17,Alba Iulia,10.9,-4.1,0.0,7.5,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-18,Alba Iulia,10.1,5.6,5.1,0.0,11.0,61,🌧️ Ploaie ușoară,0.0,arhiva
2023-02-19,Alba Iulia,11.6,6.6,2.0,4.0,8.0,53,🌦️ Burniță moderată,0.0,arhiva
2023-02-20,Alba Iulia,9.3,0.9,8.2,8.2,5.0,63,🌧️ Ploaie moderată,0.0,arhiva
2023-02-21,Alba Iulia,14.9,5.2,0.0,10.3,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-22,Alba Iulia,11.6,4.9,0.7,8.9,5.0,51,🌦️ Burniță ușoară,0.0,arhiva
2023-02-23,Alba Iulia,11.2,0.6,0.0,9.9,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-24,Alba Iulia,9.9,-0.2,0.0,5.2,0.0,3,☁️ Înnorat,0.0,arhiva
2023-02-25,Alba Iulia,11.0,3.2,4.8,2.3,10.0,61,🌧️ Ploaie ușoară,0.0,arhiva
2023-02-26,Alba Iulia,4.8,1.0,13.0,0.0,20.0,75,❄️ Ninsoare abundentă,0.0,arhiva
